longitude,latitude,adcode,province,district,address
116.39837,40.065270000000005,110114,北京市,昌平区,北京市昌平区东小口镇中滩路
116.38681,40.06566,110114,北京市,昌平区,北京市昌平区东小口镇北京城建五机电设备安装工程分公司
116.34725,40.06374,110108,北京市,海淀区,北京市海淀区新康园(南区)黄平路8号院
116.35883,40.06429,110108,北京市,海淀区,北京市海淀区西三旗街道枫丹丽舍
116.32254,40.065940000000005,110114,北京市,昌平区,北京市昌平区回龙观街道北京少林武术学校分校
116.35172,40.06842,110114,北京市,昌平区,北京市昌平区回龙观街道黄平路
116.34773,40.067820000000005,110114,北京市,昌平区,北京市昌平区回龙观街道泰华龙旗广场泰华龙旗广场5号6号楼住宅小区
116.39254,40.06882,110114,北京市,昌平区,北京市昌平区东小口镇任意球足球公园
116.39711,40.06546,110114,北京市,昌平区,北京市昌平区东小口镇太平庄中街太平郊野公园(东小口镇安全生产服务中心西南)
116.35332,40.06994,110114,北京市,昌平区,北京市昌平区回龙观街道黄平路69
116.34698,40.06331,110108,北京市,海淀区,北京市海淀区黄平路北新家园
116.37781,40.067240000000005,110114,北京市,昌平区,北京市昌平区东小口镇新都路
116.33577,40.06821,110114,北京市,昌平区,北京市昌平区回龙观街道黄土东村路吉晟别墅
116.37535,40.06922,110114,北京市,昌平区,北京市昌平区东小口镇金果果双语幼儿园
116.34584,40.06732,110114,北京市,昌平区,北京市昌平区回龙观街道文华路龙旗购物中心
116.38296,40.06667,110114,北京市,昌平区,北京市昌平区东小口镇太平庄中街
116.38422,40.06949,110114,北京市,昌平区,北京市昌平区东小口镇417乡道
116.32981,40.064330000000005,110114,北京市,昌平区,北京市昌平区回龙观街道FANCY车队
116.34652,40.062960000000004,110114,北京市,昌平区,北京市昌平区回龙观街道黄平路北京石油管理干部学院
116.36552999999999,40.063990000000004,110108,北京市,海淀区,北京市海淀区西三旗街道建材城中路金隅·翡丽
116.37839,40.06662,110114,北京市,昌平区,北京市昌平区东小口镇新都路
116.37172,40.06445,110108,北京市,海淀区,北京市海淀区西三旗街道砖瓦机械厂宿舍楼建材城东一里
116.39865999999999,40.06515,110114,北京市,昌平区,北京市昌平区东小口镇中滩路
116.36816999999999,40.06222,110108,北京市,海淀区,北京市海淀区西三旗街道北京市第二十中学(新都校区)
116.37754,40.06933,110114,北京市,昌平区,北京市昌平区东小口镇414乡道
116.37235,40.06624,110108,北京市,海淀区,北京市海淀区西三旗街道金隅翡丽铂爵郡
116.34657,40.068270000000005,110114,北京市,昌平区,北京市昌平区回龙观街道黄土东村路19号龙旗购物中心
116.35122,40.06868,110114,北京市,昌平区,北京市昌平区回龙观街道黄平路51
116.34267,40.06396,110114,北京市,昌平区,北京市昌平区回龙观街道太平庄北街东村家园
116.34531,40.06322,110114,北京市,昌平区,北京市昌平区回龙观街道匹夫涮肉城(西三旗店)北京石油管理干部学院
116.38412,40.06928,110114,北京市,昌平区,北京市昌平区东小口镇417乡道
116.37358,40.06649,110114,北京市,昌平区,北京市昌平区东小口镇日用百货五金电料
116.38896,40.06886,110114,北京市,昌平区,北京市昌平区东小口镇北京天硕伟业高尔夫球会
116.34148,40.065220000000004,110114,北京市,昌平区,北京市昌平区回龙观街道黄土东村吉晟别墅
116.38631,40.064240000000005,110114,北京市,昌平区,北京市昌平区东小口镇大佛寺
116.34268999999999,40.069210000000005,110114,北京市,昌平区,北京市昌平区回龙观街道龙博苑二区龙博苑2区
116.32215,40.06821,110114,北京市,昌平区,北京市昌平区回龙观街道爱果学前教育新龙城1期
116.36195,40.066210000000005,110114,北京市,昌平区,北京市昌平区回龙观街道住总·旗胜家园(北二区)SOCO公社
116.34374,40.06935,110114,北京市,昌平区,北京市昌平区回龙观街道龙博苑二区龙博苑2区
116.35453,40.06579,110114,北京市,昌平区,北京市昌平区建材城西路9号院
116.38222999999999,40.069860000000006,110114,北京市,昌平区,北京市昌平区东小口镇414乡道
116.37762,40.06644,110114,北京市,昌平区,北京市昌平区东小口镇新都路
116.35296,40.06962,110114,北京市,昌平区,北京市昌平区回龙观街道黄平路65
116.37218,40.066720000000004,110108,北京市,海淀区,北京市海淀区西三旗街道建材城联合社区人口计生委员会润生园
116.36724,40.06375,110108,北京市,海淀区,北京市海淀区西三旗街道新都路
116.36189,40.065580000000004,110108,北京市,海淀区,北京市海淀区西三旗街道枫丹丽舍
116.39487,40.063660000000006,110114,北京市,昌平区,北京市昌平区东小口镇太平郊野公园(东小口镇安全生产服务中心西南)
116.39256,40.069430000000004,110114,北京市,昌平区,北京市昌平区东小口镇任意球足球公园
116.37186,40.067890000000006,110108,北京市,海淀区,北京市海淀区建材城联合社区党总支
116.38224,40.06812,110114,北京市,昌平区,北京市昌平区东小口镇店上村综治维稳工作分中心
116.39242999999999,40.06384,110114,北京市,昌平区,北京市昌平区东小口镇北京西亚建筑市政工程有限责任公司太平郊野公园(东小口镇安全生产服务中心西南)
116.37786,40.065850000000005,110108,北京市,海淀区,北京市海淀区西三旗街道新都路金隅翡丽·爱公馆
116.39224,40.069590000000005,110114,北京市,昌平区,北京市昌平区东小口镇任意球足球公园
116.34142,40.06662,110114,北京市,昌平区,北京市昌平区回龙观街道文博路吉晟别墅
116.37232999999999,40.06347,110108,北京市,海淀区,北京市海淀区西三旗街道建材城东一里
116.39625,40.06958,110114,北京市,昌平区,北京市昌平区东小口镇415乡道
116.33326,40.06622,110114,北京市,昌平区,北京市昌平区回龙观街道新龙城(南区)新龙城3期
116.38499,40.068110000000004,110114,北京市,昌平区,北京市昌平区东小口镇417乡道
116.35616,40.06774,110114,北京市,昌平区,北京市昌平区回龙观街道住总·旗胜家园(北二区)住总·旗胜家园北2区
116.37752,40.064510000000006,110108,北京市,海淀区,北京市海淀区西三旗街道建材城富力桃园A区建材城富力桃园
116.39278,40.06555,110114,北京市,昌平区,北京市昌平区东小口镇北京西亚建筑市政工程有限责任公司太平郊野公园(东小口镇安全生产服务中心西南)
116.37711,40.06975,110114,北京市,昌平区,北京市昌平区东小口镇北京普莱斯特设备安装有限公司
116.36259,40.06382,110108,北京市,海淀区,北京市海淀区西三旗街道枫丹丽舍
116.36124,40.06449,110108,北京市,海淀区,北京市海淀区西三旗街道枫丹丽舍
